match,player_name,line,over_price,under_price,market_name,agency,player_team
West Ham United v Chelsea,Aaron Wan-Bissaka,2.5,1.8,1.9,Player Tackles,Bet365,West Ham United
West Ham United v Chelsea,Cole Palmer,0.5,1.72,2,Player Tackles,Bet365,Chelsea
West Ham United v Chelsea,Crysencio Summerville,1.5,2.62,1.44,Player Tackles,Bet365,West Ham United
West Ham United v Chelsea,Edson Álvarez,2.5,2,1.72,Player Tackles,Bet365,West Ham United
West Ham United v Chelsea,Emerson,2.5,2.2,1.61,Player Tackles,Bet365,West Ham United
West Ham United v Chelsea,Enzo Fernández,2.5,2.1,1.66,Player Tackles,Bet365,Chelsea
West Ham United v Chelsea,Guido Rodríguez,2.5,2.1,1.66,Player Tackles,Bet365,West Ham United
West Ham United v Chelsea,Jadon Sancho,0.5,1.61,2.2,Player Tackles,Bet365,Manchester United
West Ham United v Chelsea,Jarrod Bowen,1.5,2.62,1.44,Player Tackles,Bet365,West Ham United
West Ham United v Chelsea,Konstantinos Mavropanos,1.5,2.37,1.53,Player Tackles,Bet365,West Ham United
West Ham United v Chelsea,Levi Colwill,1.5,2,1.72,Player Tackles,Bet365,Chelsea
West Ham United v Chelsea,Lucas Paquetá,2.5,2.1,1.66,Player Tackles,Bet365,West Ham United
West Ham United v Chelsea,Marc Cucurella,2.5,1.72,2,Player Tackles,Bet365,Chelsea
West Ham United v Chelsea,Max Kilman,0.5,1.61,2.2,Player Tackles,Bet365,West Ham United
West Ham United v Chelsea,Mohammed Kudus,1.5,1.66,2.1,Player Tackles,Bet365,West Ham United
West Ham United v Chelsea,Moisés Caicedo,3.5,2.2,1.61,Player Tackles,Bet365,Chelsea
West Ham United v Chelsea,Nicolas Jackson,0.5,1.9,1.8,Player Tackles,Bet365,Chelsea
West Ham United v Chelsea,Noni Madueke,1.5,2.5,1.5,Player Tackles,Bet365,Chelsea
West Ham United v Chelsea,Wesley Fofana,1.5,1.57,2.25,Player Tackles,Bet365,Chelsea
