home_team,away_team,market_name,player_name,line,over_price,under_price,agency,match
Everton,Brighton & Hove Albion,Player Goals,Kaoru Mitoma,0.5,3.24,NA,Dabble,Everton v Brighton & Hove Albion
Everton,Brighton & Hove Albion,Player Goals,Iliman Ndiaye,0.5,3.6,NA,Dabble,Everton v Brighton & Hove Albion
Crystal Palace,Nottingham Forest,Player Goals,Jean-Philippe Mateta,0.5,2.52,NA,Dabble,Crystal Palace v Nottingham Forest
Crystal Palace,Nottingham Forest,Player Goals,Dan Ndoye,0.5,4.05,NA,Dabble,Crystal Palace v Nottingham Forest
Crystal Palace,Nottingham Forest,Player Goals,Chris Wood,0.5,2.93,NA,Dabble,Crystal Palace v Nottingham Forest
Fulham,Manchester United,Player Goals,Rodrigo Muniz,0.5,2.7,NA,Dabble,Fulham v Manchester United
Fulham,Manchester United,Player Goals,Matheus Cunha,0.5,2.88,NA,Dabble,Fulham v Manchester United
Fulham,Manchester United,Player Goals,Bryan Mbeumo,0.5,2.88,NA,Dabble,Fulham v Manchester United
Fulham,Manchester United,Player Goals,Benjamin Sesko,0.5,2.25,NA,Dabble,Fulham v Manchester United
Fulham,Manchester United,Player Goals,Ra<c3><ba>l Jim<c3><a9>nez,0.5,2.61,NA,Dabble,Fulham v Manchester United
Newcastle United,Liverpool,Player Goals,Cody Gakpo,0.5,2.79,NA,Dabble,Newcastle United v Liverpool
Newcastle United,Liverpool,Player Goals,Harvey Barnes,0.5,3.15,NA,Dabble,Newcastle United v Liverpool
Newcastle United,Liverpool,Player Goals,Mohamed Salah,0.5,1.89,NA,Dabble,Newcastle United v Liverpool
Newcastle United,Liverpool,Player Goals,Anthony Elanga,0.5,3.15,NA,Dabble,Newcastle United v Liverpool
Newcastle United,Liverpool,Player Goals,Florian Wirtz,0.5,3.06,NA,Dabble,Newcastle United v Liverpool
Newcastle United,Liverpool,Player Goals,Hugo Ekitike,0.5,2.16,NA,Dabble,Newcastle United v Liverpool
Newcastle United,Liverpool,Player Goals,Anthony Gordon,0.5,2.7,NA,Dabble,Newcastle United v Liverpool
