home_team,away_team,market_name,player_name,line,over_price,under_price,agency,match
Liverpool,Everton,Player shots,Virgil van Dijk,0.5,1.8,1.8,Dabble,Liverpool v Everton
Liverpool,Everton,Player shots,Idrissa Gueye,0.5,1.89,NA,Dabble,Liverpool v Everton
Liverpool,Everton,Player shots,Alexander Isak,3,1.8,1.8,Dabble,Liverpool v Everton
Liverpool,Everton,Player shots,Tim Iroegbunam,0.5,1.8,1.8,Dabble,Liverpool v Everton
Liverpool,Everton,Player shots,Jack Grealish,1.5,1.89,NA,Dabble,Liverpool v Everton
Liverpool,Everton,Player shots,Dominik Szoboszlai,2,1.8,1.8,Dabble,Liverpool v Everton
Liverpool,Everton,Player shots,Florian Wirtz,2,1.8,1.8,Dabble,Liverpool v Everton
Liverpool,Everton,Player shots,Kiernan Dewsbury-Hall,1,1.89,NA,Dabble,Liverpool v Everton
West Ham United,Crystal Palace,Player shots,Will Hughes,0.5,1.8,1.8,Dabble,West Ham United v Crystal Palace
West Ham United,Crystal Palace,Player shots,Lucas Paquetá,2,1.8,1.8,Dabble,West Ham United v Crystal Palace
West Ham United,Crystal Palace,Player shots,Jean-Philippe Mateta,2.5,1.8,1.8,Dabble,West Ham United v Crystal Palace
West Ham United,Crystal Palace,Player shots,Niclas Füllkrug,2.5,1.8,1.8,Dabble,West Ham United v Crystal Palace
West Ham United,Crystal Palace,Player shots,Mateus Fernandes,1,1.89,NA,Dabble,West Ham United v Crystal Palace
West Ham United,Crystal Palace,Player shots,Yeremy Pino,1.5,1.8,1.8,Dabble,West Ham United v Crystal Palace
Wolverhampton Wanderers,Leeds United,Player shots,Brenden Aaronson,1.5,1.89,NA,Dabble,Wolverhampton Wanderers v Leeds United
Wolverhampton Wanderers,Leeds United,Player shots,Jhon Arias,3,1.8,1.8,Dabble,Wolverhampton Wanderers v Leeds United
Wolverhampton Wanderers,Leeds United,Player shots,Lukas Nmecha,3,1.8,1.8,Dabble,Wolverhampton Wanderers v Leeds United
Wolverhampton Wanderers,Leeds United,Player shots,Hee-chan Hwang,2,1.8,1.8,Dabble,Wolverhampton Wanderers v Leeds United
Wolverhampton Wanderers,Leeds United,Player shots,Rodrigo Gomes,1.5,1.89,NA,Dabble,Wolverhampton Wanderers v Leeds United
Wolverhampton Wanderers,Leeds United,Player shots,Wilfried Gnonto,2,1.8,1.8,Dabble,Wolverhampton Wanderers v Leeds United
Brighton & Hove Albion,Tottenham Hotspur,Player shots,Yasin Ayari,1.5,1.8,1.8,Dabble,Brighton & Hove Albion v Tottenham Hotspur
Brighton & Hove Albion,Tottenham Hotspur,Player shots,Danny Welbeck,2.5,1.89,NA,Dabble,Brighton & Hove Albion v Tottenham Hotspur
Brighton & Hove Albion,Tottenham Hotspur,Player shots,Xavi Simmons,3,1.89,NA,Dabble,Brighton & Hove Albion v Tottenham Hotspur
Brighton & Hove Albion,Tottenham Hotspur,Player shots,Mohammed Kudus,2,1.8,1.8,Dabble,Brighton & Hove Albion v Tottenham Hotspur
Brighton & Hove Albion,Tottenham Hotspur,Player shots,Georginio Rutter,3,2.25,NA,Dabble,Brighton & Hove Albion v Tottenham Hotspur
Brighton & Hove Albion,Tottenham Hotspur,Player shots,Randal Kolo Muani,2.5,1.8,1.8,Dabble,Brighton & Hove Albion v Tottenham Hotspur
Burnley,Nottingham Forest,Player shots,Callum Hudson-Odoi,2.5,1.89,NA,Dabble,Burnley v Nottingham Forest
Burnley,Nottingham Forest,Player shots,Morgan Gibbs-White,2,1.8,1.8,Dabble,Burnley v Nottingham Forest
Burnley,Nottingham Forest,Player shots,Lyle Foster,2.5,1.89,NA,Dabble,Burnley v Nottingham Forest
Burnley,Nottingham Forest,Player shots,Josh Cullen,0.5,1.8,1.8,Dabble,Burnley v Nottingham Forest
Burnley,Nottingham Forest,Player shots,Jaidon Anthony,2,1.8,1.8,Dabble,Burnley v Nottingham Forest
Burnley,Nottingham Forest,Player shots,Dan Ndoye,2,1.8,1.8,Dabble,Burnley v Nottingham Forest
Manchester United,Chelsea,Player shots,João Pedro,2.5,1.89,NA,Dabble,Manchester United v Chelsea
Manchester United,Chelsea,Player shots,Benjamin Sesko,2,1.8,1.8,Dabble,Manchester United v Chelsea
Manchester United,Chelsea,Player shots,Bryan Mbeumo,2.5,1.89,NA,Dabble,Manchester United v Chelsea
Manchester United,Chelsea,Player shots,Tosin Adarabioyo,0.5,1.8,1.8,Dabble,Manchester United v Chelsea
Manchester United,Chelsea,Player shots,Cole Palmer,3,1.8,1.8,Dabble,Manchester United v Chelsea
Manchester United,Chelsea,Player shots,Bruno Fernandes,2,1.8,1.8,Dabble,Manchester United v Chelsea
Manchester United,Chelsea,Player shots,Amad Diallo,1.5,1.8,1.8,Dabble,Manchester United v Chelsea
Manchester United,Chelsea,Player shots,Pedro Neto,1.5,1.8,1.8,Dabble,Manchester United v Chelsea
Fulham,Brentford,Player shots,Jordan Henderson,0.5,1.8,1.8,Dabble,Fulham v Brentford
Fulham,Brentford,Player shots,Joshua King,2,1.8,1.8,Dabble,Fulham v Brentford
Fulham,Brentford,Player shots,Samuel Chukwueze,2.5,1.8,1.8,Dabble,Fulham v Brentford
Fulham,Brentford,Player shots,Rodrigo Muniz,3.5,1.89,NA,Dabble,Fulham v Brentford
Fulham,Brentford,Player shots,Mikkel Damsgaard,1,1.8,1.8,Dabble,Fulham v Brentford
Fulham,Brentford,Player shots,Thiago,2,1.8,1.8,Dabble,Fulham v Brentford
Fulham,Brentford,Player shots,Kevin Schade,2,1.8,1.8,Dabble,Fulham v Brentford
Fulham,Brentford,Player shots,Alex Iwobi,2,1.8,1.8,Dabble,Fulham v Brentford
Sunderland,Aston Villa,Player shots,Wilson Isidor,2,1.8,1.8,Dabble,Sunderland v Aston Villa
Sunderland,Aston Villa,Player shots,Ollie Watkins,2,1.8,1.8,Dabble,Sunderland v Aston Villa
Sunderland,Aston Villa,Player shots,Granit Xhaka,0.5,1.8,1.8,Dabble,Sunderland v Aston Villa
Sunderland,Aston Villa,Player shots,Morgan Rogers,1.5,1.8,1.8,Dabble,Sunderland v Aston Villa
Sunderland,Aston Villa,Player shots,Tyrone Mings,0.5,1.8,1.8,Dabble,Sunderland v Aston Villa
Sunderland,Aston Villa,Player shots,Simon Adingra,1.5,1.89,NA,Dabble,Sunderland v Aston Villa
Bournemouth,Newcastle United,Player shots,Nick Woltemade,2.5,1.89,NA,Dabble,Bournemouth v Newcastle United
Bournemouth,Newcastle United,Player shots,Bruno Guimarães,0.5,1.8,1.8,Dabble,Bournemouth v Newcastle United
Bournemouth,Newcastle United,Player shots,Antoine Semenyo,3,1.8,1.8,Dabble,Bournemouth v Newcastle United
Bournemouth,Newcastle United,Player shots,Jacob Murphy,2,1.8,1.8,Dabble,Bournemouth v Newcastle United
Bournemouth,Newcastle United,Player shots,David Brooks,2,1.8,1.8,Dabble,Bournemouth v Newcastle United
Bournemouth,Newcastle United,Player shots,Marcus Tavernier,2,1.8,1.8,Dabble,Bournemouth v Newcastle United
Arsenal,Manchester City,Player shots,Oscar Bobb,1.5,1.89,NA,Dabble,Arsenal v Manchester City
Arsenal,Manchester City,Player shots,Noni Madueke,1.5,1.8,1.8,Dabble,Arsenal v Manchester City
Arsenal,Manchester City,Player shots,Erling Haaland,2.5,1.89,NA,Dabble,Arsenal v Manchester City
