home_team,away_team,market_name,player_name,line,over_price,under_price,agency,match
Tottenham Hotspur,Manchester United,Player Shots On Target,Wilson Odobert shots-on-target,0.5,1.8,1.8,Dabble,Tottenham Hotspur v Manchester United
Tottenham Hotspur,Manchester United,Player Shots On Target,Wilson Odobert shots-on-target,1,1.89,NA,Dabble,Tottenham Hotspur v Manchester United
Tottenham Hotspur,Manchester United,Player Shots On Target,Amad Diallo shots-on-target,0.5,1.8,1.8,Dabble,Tottenham Hotspur v Manchester United
Tottenham Hotspur,Manchester United,Player Shots On Target,Richarlison shots-on-target,1,1.89,NA,Dabble,Tottenham Hotspur v Manchester United
Tottenham Hotspur,Manchester United,Player Shots On Target,Mohammed Kudus shots-on-target,1,1.89,NA,Dabble,Tottenham Hotspur v Manchester United
Tottenham Hotspur,Manchester United,Player Shots On Target,Mohammed Kudus shots-on-target,0.5,1.8,1.8,Dabble,Tottenham Hotspur v Manchester United
Tottenham Hotspur,Manchester United,Player Shots On Target,Richarlison shots-on-target,1.5,2.7,NA,Dabble,Tottenham Hotspur v Manchester United
West Ham United,Burnley,Player Shots On Target,Tomáš Souček shots-on-target,0.5,1.8,1.8,Dabble,West Ham United v Burnley
West Ham United,Burnley,Player Shots On Target,Jaidon Anthony shots-on-target,0.5,1.8,1.8,Dabble,West Ham United v Burnley
West Ham United,Burnley,Player Shots On Target,Crysencio Summerville shots-on-target,0.5,1.8,1.8,Dabble,West Ham United v Burnley
West Ham United,Burnley,Player Shots On Target,Zian Flemming shots-on-target,0.5,1.8,1.8,Dabble,West Ham United v Burnley
West Ham United,Burnley,Player Shots On Target,Lyle Foster shots-on-target,0.5,1.8,1.8,Dabble,West Ham United v Burnley
Everton,Fulham,Player Shots On Target,Alex Iwobi shots-on-target,0.5,1.89,NA,Dabble,Everton v Fulham
Everton,Fulham,Player Shots On Target,Harry Wilson shots-on-target,0.5,1.89,NA,Dabble,Everton v Fulham
Everton,Fulham,Player Shots On Target,Iliman Ndiaye shots-on-target,1,1.89,NA,Dabble,Everton v Fulham
Everton,Fulham,Player Shots On Target,Jack Grealish shots-on-target,0.5,1.89,NA,Dabble,Everton v Fulham
Everton,Fulham,Player Shots On Target,Beto shots-on-target,0.5,1.8,1.8,Dabble,Everton v Fulham
Sunderland,Arsenal,Player Shots On Target,Bertrand Traore shots-on-target,0.5,1.89,NA,Dabble,Sunderland v Arsenal
Sunderland,Arsenal,Player Shots On Target,Bukayo Saka shots-on-target,1,1.89,NA,Dabble,Sunderland v Arsenal
Sunderland,Arsenal,Player Shots On Target,Ethan Nwaneri shots-on-target,0.5,1.8,1.8,Dabble,Sunderland v Arsenal
Sunderland,Arsenal,Player Shots On Target,Leandro Trossard shots-on-target,0.5,1.8,1.8,Dabble,Sunderland v Arsenal
Sunderland,Arsenal,Player Shots On Target,Wilson Isidor shots-on-target,0.5,1.8,1.8,Dabble,Sunderland v Arsenal
Chelsea,Wolverhampton Wanderers,Player Shots On Target,João Pedro shots-on-target,1,1.89,NA,Dabble,Chelsea v Wolverhampton Wanderers
Chelsea,Wolverhampton Wanderers,Player Shots On Target,Hee-chan Hwang shots-on-target,0.5,1.8,1.8,Dabble,Chelsea v Wolverhampton Wanderers
Chelsea,Wolverhampton Wanderers,Player Shots On Target,Jørgen Strand Larsen shots-on-target,0.5,1.8,1.8,Dabble,Chelsea v Wolverhampton Wanderers
Chelsea,Wolverhampton Wanderers,Player Shots On Target,Jhon Arias shots-on-target,0.5,1.8,1.8,Dabble,Chelsea v Wolverhampton Wanderers
Chelsea,Wolverhampton Wanderers,Player Shots On Target,Estevão shots-on-target,1,1.89,NA,Dabble,Chelsea v Wolverhampton Wanderers
Nottingham Forest,Leeds United,Player Shots On Target,Dan James shots-on-target,0.5,1.8,1.8,Dabble,Nottingham Forest v Leeds United
Nottingham Forest,Leeds United,Player Shots On Target,Morgan Gibbs-White shots-on-target,0.5,1.8,1.8,Dabble,Nottingham Forest v Leeds United
Nottingham Forest,Leeds United,Player Shots On Target,Dan Ndoye shots-on-target,0.5,1.8,1.8,Dabble,Nottingham Forest v Leeds United
Nottingham Forest,Leeds United,Player Shots On Target,Noah Okafor shots-on-target,0.5,1.8,1.8,Dabble,Nottingham Forest v Leeds United
Brentford,Newcastle United,Player Shots On Target,Kevin Schade shots-on-target,0.5,1.8,1.8,Dabble,Brentford v Newcastle United
Brentford,Newcastle United,Player Shots On Target,Nick Woltemade shots-on-target,1,1.89,NA,Dabble,Brentford v Newcastle United
Brentford,Newcastle United,Player Shots On Target,Thiago shots-on-target,1,1.89,NA,Dabble,Brentford v Newcastle United
Brentford,Newcastle United,Player Shots On Target,Jacob Murphy shots-on-target,0.5,1.8,1.8,Dabble,Brentford v Newcastle United
Crystal Palace,Brighton & Hove Albion,Player Shots On Target,Danny Welbeck shots-on-target,1,1.89,NA,Dabble,Crystal Palace v Brighton & Hove Albion
Crystal Palace,Brighton & Hove Albion,Player Shots On Target,Georginio Rutter shots-on-target,0.5,1.8,1.8,Dabble,Crystal Palace v Brighton & Hove Albion
Crystal Palace,Brighton & Hove Albion,Player Shots On Target,Yeremy Pino shots-on-target,0.5,1.8,1.8,Dabble,Crystal Palace v Brighton & Hove Albion
Crystal Palace,Brighton & Hove Albion,Player Shots On Target,Jean-Philippe Mateta shots-on-target,1.5,1.89,NA,Dabble,Crystal Palace v Brighton & Hove Albion
Aston Villa,Bournemouth,Player Shots On Target,Morgan Rogers shots-on-target,0.5,1.8,1.8,Dabble,Aston Villa v Bournemouth
Aston Villa,Bournemouth,Player Shots On Target,Justin Kluivert shots-on-target,0.5,1.8,1.8,Dabble,Aston Villa v Bournemouth
Aston Villa,Bournemouth,Player Shots On Target,Ollie Watkins shots-on-target,1,1.89,NA,Dabble,Aston Villa v Bournemouth
