match,market_name,home_team,away_team,home_win,draw,away_win,margin,agency
West Ham United v Tottenham Hotspur,Head To Head,West Ham United,Tottenham Hotspur,3.3,3.5,2.1,1.06,Neds
Newcastle United v Wolverhampton Wanderers,Head To Head,Newcastle United,Wolverhampton Wanderers,1.4,4.5,7.75,1.07,Neds
Fulham v Leeds United,Head To Head,Fulham,Leeds United,1.94,3.45,3.75,1.07,Neds
Burnley v Liverpool,Head To Head,Burnley,Liverpool,7.75,5.4,1.32,1.07,Neds
Crystal Palace v Sunderland AFC,Head To Head,Crystal Palace,Sunderland AFC,1.7,3.6,5,1.07,Neds
Bournemouth v Brighton & Hove Albion,Head To Head,Bournemouth,Brighton & Hove Albion,2.35,3.45,2.8,1.07,Neds
Arsenal v Nottingham Forest,Head To Head,Arsenal,Nottingham Forest,1.3599999999999999,5,7.5,1.07,Neds
Everton v Aston Villa,Head To Head,Everton,Aston Villa,2.45,3.25,2.85,1.07,Neds
Manchester City v Manchester United,Head To Head,Manchester City,Manchester United,1.75,4,4,1.07,Neds
Brentford v Chelsea,Head To Head,Brentford,Chelsea,4,3.6,1.85,1.07,Neds
