match,market_name,home_team,away_team,line,over_price,under_price,margin,agency
Sunderland AFC v Bournemouth,Total Goals,Sunderland AFC,Bournemouth,2.5,1.9100000000000001,1.8,1.08,Neds
West Ham United v Liverpool,Total Goals,West Ham United,Liverpool,0.5,1.02,13,1.06,Neds
Crystal Palace v Manchester United,Total Goals,Crystal Palace,Manchester United,2.5,1.7,2.05,1.08,Neds
Brentford v Burnley,Total Goals,Brentford,Burnley,6.5,19,NA,NA,Neds
Chelsea v Arsenal,Total Goals,Chelsea,Arsenal,4.5,5.75,1.13,1.06,Neds
Sunderland AFC v Bournemouth,Total Goals,Sunderland AFC,Bournemouth,4.5,6,1.1,1.08,Neds
Chelsea v Arsenal,Total Goals,Chelsea,Arsenal,6.5,21,NA,NA,Neds
Aston Villa v Wolverhampton Wanderers,Total Goals,Aston Villa,Wolverhampton Wanderers,5.5,10,1.04,1.06,Neds
West Ham United v Liverpool,Total Goals,West Ham United,Liverpool,6.5,12,1.02,1.06,Neds
West Ham United v Liverpool,Total Goals,West Ham United,Liverpool,5.5,6.5,1.09,1.07,Neds
Tottenham Hotspur v Fulham,Total Goals,Tottenham Hotspur,Fulham,4.5,5.75,1.13,1.06,Neds
Sunderland AFC v Bournemouth,Total Goals,Sunderland AFC,Bournemouth,5.5,12,1.02,1.06,Neds
Nottingham Forest v Brighton & Hove Albion,Total Goals,Nottingham Forest,Brighton & Hove Albion,1.5,1.29,3.4,1.07,Neds
Tottenham Hotspur v Fulham,Total Goals,Tottenham Hotspur,Fulham,2.5,1.85,1.85,1.08,Neds
Nottingham Forest v Brighton & Hove Albion,Total Goals,Nottingham Forest,Brighton & Hove Albion,0.5,1.05,9,1.06,Neds
Aston Villa v Wolverhampton Wanderers,Total Goals,Aston Villa,Wolverhampton Wanderers,3.5,2.9,1.3599999999999999,1.08,Neds
Aston Villa v Wolverhampton Wanderers,Total Goals,Aston Villa,Wolverhampton Wanderers,2.5,1.8,1.95,1.07,Neds
Brentford v Burnley,Total Goals,Brentford,Burnley,5.5,9.5,1.04,1.07,Neds
West Ham United v Liverpool,Total Goals,West Ham United,Liverpool,1.5,1.15,4.8,1.08,Neds
Nottingham Forest v Brighton & Hove Albion,Total Goals,Nottingham Forest,Brighton & Hove Albion,2.5,1.85,1.85,1.08,Neds
Nottingham Forest v Brighton & Hove Albion,Total Goals,Nottingham Forest,Brighton & Hove Albion,3.5,3.1,1.33,1.07,Neds
West Ham United v Liverpool,Total Goals,West Ham United,Liverpool,4.5,3.7,1.25,1.07,Neds
Crystal Palace v Manchester United,Total Goals,Crystal Palace,Manchester United,3.5,2.7,1.4,1.08,Neds
Manchester City v Leeds United,Total Goals,Manchester City,Leeds United,5.5,6,1.1,1.08,Neds
West Ham United v Liverpool,Total Goals,West Ham United,Liverpool,3.5,2.2,1.6,1.08,Neds
Everton v Newcastle United,Total Goals,Everton,Newcastle United,3.5,3.2,1.3,1.08,Neds
Brentford v Burnley,Total Goals,Brentford,Burnley,3.5,2.8,1.4,1.07,Neds
Everton v Newcastle United,Total Goals,Everton,Newcastle United,5.5,12,1.02,1.06,Neds
Tottenham Hotspur v Fulham,Total Goals,Tottenham Hotspur,Fulham,5.5,11,1.03,1.06,Neds
Crystal Palace v Manchester United,Total Goals,Crystal Palace,Manchester United,4.5,4.8,1.15,1.08,Neds
Tottenham Hotspur v Fulham,Total Goals,Tottenham Hotspur,Fulham,3.5,3,1.33,1.09,Neds
Crystal Palace v Manchester United,Total Goals,Crystal Palace,Manchester United,0.5,1.04,10,1.06,Neds
Aston Villa v Wolverhampton Wanderers,Total Goals,Aston Villa,Wolverhampton Wanderers,4.5,5.25,1.13,1.08,Neds
Chelsea v Arsenal,Total Goals,Chelsea,Arsenal,1.5,1.29,3.4,1.07,Neds
Everton v Newcastle United,Total Goals,Everton,Newcastle United,2.5,1.9100000000000001,1.8,1.08,Neds
Nottingham Forest v Brighton & Hove Albion,Total Goals,Nottingham Forest,Brighton & Hove Albion,4.5,5.75,1.11,1.07,Neds
Aston Villa v Wolverhampton Wanderers,Total Goals,Aston Villa,Wolverhampton Wanderers,0.5,1.04,10,1.06,Neds
Everton v Newcastle United,Total Goals,Everton,Newcastle United,4.5,6,1.11,1.07,Neds
Tottenham Hotspur v Fulham,Total Goals,Tottenham Hotspur,Fulham,0.5,1.05,9,1.06,Neds
Manchester City v Leeds United,Total Goals,Manchester City,Leeds United,0.5,1.01,15,1.06,Neds
Manchester City v Leeds United,Total Goals,Manchester City,Leeds United,3.5,2.15,1.65,1.07,Neds
Sunderland AFC v Bournemouth,Total Goals,Sunderland AFC,Bournemouth,0.5,1.06,8.5,1.06,Neds
Everton v Newcastle United,Total Goals,Everton,Newcastle United,0.5,1.06,8.5,1.06,Neds
Manchester City v Leeds United,Total Goals,Manchester City,Leeds United,4.5,3.5,1.25,1.09,Neds
Chelsea v Arsenal,Total Goals,Chelsea,Arsenal,5.5,11,1.03,1.06,Neds
Brentford v Burnley,Total Goals,Brentford,Burnley,4.5,5,1.1400000000000001,1.08,Neds
Chelsea v Arsenal,Total Goals,Chelsea,Arsenal,0.5,1.06,8.5,1.06,Neds
Chelsea v Arsenal,Total Goals,Chelsea,Arsenal,3.5,3.1,1.33,1.07,Neds
Manchester City v Leeds United,Total Goals,Manchester City,Leeds United,1.5,1.1400000000000001,5,1.08,Neds
Crystal Palace v Manchester United,Total Goals,Crystal Palace,Manchester United,1.5,1.22,3.8,1.08,Neds
Manchester City v Leeds United,Total Goals,Manchester City,Leeds United,2.5,1.48,2.6,1.06,Neds
Brentford v Burnley,Total Goals,Brentford,Burnley,2.5,1.73,2,1.08,Neds
Brentford v Burnley,Total Goals,Brentford,Burnley,0.5,1.03,11,1.06,Neds
Chelsea v Arsenal,Total Goals,Chelsea,Arsenal,2.5,1.85,1.85,1.08,Neds
Nottingham Forest v Brighton & Hove Albion,Total Goals,Nottingham Forest,Brighton & Hove Albion,6.5,21,NA,NA,Neds
Nottingham Forest v Brighton & Hove Albion,Total Goals,Nottingham Forest,Brighton & Hove Albion,5.5,11,1.03,1.06,Neds
Sunderland AFC v Bournemouth,Total Goals,Sunderland AFC,Bournemouth,6.5,23,NA,NA,Neds
Crystal Palace v Manchester United,Total Goals,Crystal Palace,Manchester United,5.5,9,1.05,1.06,Neds
Tottenham Hotspur v Fulham,Total Goals,Tottenham Hotspur,Fulham,1.5,1.29,3.4,1.07,Neds
Aston Villa v Wolverhampton Wanderers,Total Goals,Aston Villa,Wolverhampton Wanderers,6.5,19,NA,NA,Neds
Aston Villa v Wolverhampton Wanderers,Total Goals,Aston Villa,Wolverhampton Wanderers,1.5,1.25,3.6,1.08,Neds
Sunderland AFC v Bournemouth,Total Goals,Sunderland AFC,Bournemouth,3.5,3.25,1.3,1.08,Neds
Brentford v Burnley,Total Goals,Brentford,Burnley,1.5,1.25,3.75,1.07,Neds
