match,home_team,away_team,market_name,yes_price,no_price,agency,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Newcastle United v Tottenham Hotspur,Newcastle United,Tottenham Hotspur,Both Teams to Score,1.33,3.2,Pointsbet,1922679,67341596,1,2
Chelsea v Crystal Palace,Chelsea,Crystal Palace,Both Teams to Score,1.53,2.45,Pointsbet,1922678,67341523,1,2
Manchester United v Liverpool,Manchester United,Liverpool,Both Teams to Score,1.4,2.9,Pointsbet,1922777,67348072,1,2
Southampton v Manchester United,Southampton,Manchester United,Both Teams to Score,1.63,2.25,Pointsbet,1933699,68497463,1,2
Liverpool v Nottingham Forest,Liverpool,Nottingham Forest,Both Teams to Score,1.77,2,Pointsbet,1933783,68505086,1,2
Brighton & Hove Albion v Ipswich Town,Brighton & Hove Albion,Ipswich Town,Both Teams to Score,1.8,1.95,Pointsbet,1933780,68504501,1,2
Fulham v West Ham United,Fulham,West Ham United,Both Teams to Score,1.56,2.4,Pointsbet,1933782,68504862,1,2
Crystal Palace v Leicester City,Crystal Palace,Leicester City,Both Teams to Score,1.71,2.1,Pointsbet,1933781,68504696,1,2
Manchester City v Brentford,Manchester City,Brentford,Both Teams to Score,1.83,1.9,Pointsbet,1933784,68505281,1,2
Aston Villa v Everton,Aston Villa,Everton,Both Teams to Score,1.8,1.95,Pointsbet,1933866,68512349,1,2
Bournemouth v Chelsea,Bournemouth,Chelsea,Both Teams to Score,1.42,2.75,Pointsbet,1934054,68518864,1,2
