match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey
Arsenal v Everton,Arsenal,Everton,Player assists,Raheem Sterling,Arsenal,0.5,4.2,Pointsbet,Everton,2024013,77005280,1
Arsenal v Everton,Arsenal,Everton,Player assists,Thomas Partey,Arsenal,0.5,8,Pointsbet,Everton,2024013,77005280,2
Arsenal v Everton,Arsenal,Everton,Player assists,Jorginho,Arsenal,0.5,7,Pointsbet,Everton,2024013,77005280,3
Arsenal v Everton,Arsenal,Everton,Player assists,Leandro Trossard,Arsenal,0.5,3.9,Pointsbet,Everton,2024013,77005280,4
Arsenal v Everton,Arsenal,Everton,Player assists,Martin Ødegaard,Arsenal,0.5,3.3,Pointsbet,Everton,2024013,77005280,5
Arsenal v Everton,Arsenal,Everton,Player assists,Mikel Merino,Arsenal,0.5,4.5,Pointsbet,Everton,2024013,77005280,6
Arsenal v Everton,Arsenal,Everton,Player assists,Kieran Tierney,Arsenal,0.5,6,Pointsbet,Everton,2024013,77005280,7
Arsenal v Everton,Arsenal,Everton,Player assists,Oleksandr Zinchenko,Arsenal,0.5,6.5,Pointsbet,Everton,2024013,77005280,8
Arsenal v Everton,Arsenal,Everton,Player assists,Declan Rice,Arsenal,0.5,5,Pointsbet,Everton,2024013,77005280,9
Arsenal v Everton,Arsenal,Everton,Player assists,Gabriel Jesus,Arsenal,0.5,4.2,Pointsbet,Everton,2024013,77005280,10
Arsenal v Everton,Arsenal,Everton,Player assists,Ben White,Arsenal,0.5,7.5,Pointsbet,Everton,2024013,77005280,11
Arsenal v Everton,Arsenal,Everton,Player assists,Kai Havertz,Arsenal,0.5,5.75,Pointsbet,Everton,2024013,77005280,12
Arsenal v Everton,Arsenal,Everton,Player assists,Gabriel Magalhães,Arsenal,0.5,21,Pointsbet,Everton,2024013,77005280,13
Arsenal v Everton,Arsenal,Everton,Player assists,Takehiro Tomiyasu,Arsenal,0.5,9.5,Pointsbet,Everton,2024013,77005280,14
Arsenal v Everton,Arsenal,Everton,Player assists,Jurrien Timber,Arsenal,0.5,8.5,Pointsbet,Everton,2024013,77005280,15
Arsenal v Everton,Arsenal,Everton,Player assists,Jakub Kiwior,Arsenal,0.5,10,Pointsbet,Everton,2024013,77005280,16
Arsenal v Everton,Arsenal,Everton,Player assists,William Saliba,Arsenal,0.5,20,Pointsbet,Everton,2024013,77005280,17
Arsenal v Everton,Arsenal,Everton,Player assists,Bukayo Saka,Arsenal,0.5,2.75,Pointsbet,Everton,2024013,77005280,18
Arsenal v Everton,Arsenal,Everton,Player assists,Riccardo Calafiori,Arsenal,0.5,9.5,Pointsbet,Everton,2024013,77005280,19
Arsenal v Everton,Arsenal,Everton,Player assists,Gabriel Martinelli,Arsenal,0.5,3.6,Pointsbet,Everton,2024013,77005280,20
Arsenal v Everton,Arsenal,Everton,Player assists,Ethan Nwaneri,Arsenal,0.5,4.4,Pointsbet,Everton,2024013,77005280,21
Arsenal v Everton,Arsenal,Everton,Player assists,Ashley Young,Everton,0.5,17,Pointsbet,Arsenal,2024013,77005280,22
Arsenal v Everton,Arsenal,Everton,Player assists,Séamus Coleman,Everton,0.5,29,Pointsbet,Arsenal,2024013,77005280,23
Arsenal v Everton,Arsenal,Everton,Player assists,Idrissa Gueye,Everton,0.5,26,Pointsbet,Arsenal,2024013,77005280,24
Arsenal v Everton,Arsenal,Everton,Player assists,Abdoulaye Doucouré,Everton,0.5,15,Pointsbet,Arsenal,2024013,77005280,25
Arsenal v Everton,Arsenal,Everton,Player assists,Dele Alli,NA,0.5,13,Pointsbet,NA,2024013,77005280,26
Arsenal v Everton,Arsenal,Everton,Player assists,James Tarkowski,Everton,0.5,41,Pointsbet,Arsenal,2024013,77005280,27
