match,home_team,away_team,market_name,team,line,over_price,under_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_under
Arsenal v Manchester City,Arsenal,Manchester City,Team Goals,Arsenal,0.5,1.14,4.7,Sportsbet,49,289,14361147,525855764,2501046412,2501046413
Arsenal v Manchester City,Arsenal,Manchester City,Team Goals,Arsenal,1.5,1.89,1.81,Sportsbet,49,289,14361147,525855765,2501046414,2501046415
Arsenal v Manchester City,Arsenal,Manchester City,Team Goals,Arsenal,2.5,3.96,1.2,Sportsbet,49,289,14361147,525855766,2501046416,2501046417
Arsenal v Manchester City,Arsenal,Manchester City,Team Goals,Arsenal,3.5,10,1.04,Sportsbet,49,289,14361147,525855767,2501046418,2501046419
Arsenal v Manchester City,Arsenal,Manchester City,Team Goals,Manchester City,0.5,1.33,3,Sportsbet,49,289,14361147,525855742,2501046733,2501046734
Arsenal v Manchester City,Arsenal,Manchester City,Team Goals,Manchester City,1.5,2.74,1.39,Sportsbet,49,289,14361147,525855743,2501046735,2501046736
Arsenal v Manchester City,Arsenal,Manchester City,Team Goals,Manchester City,2.5,7.3,1.06,Sportsbet,49,289,14361147,525855744,2501046737,2501046738
Arsenal v Manchester City,Arsenal,Manchester City,Team Goals,Manchester City,3.5,22,1.01,Sportsbet,49,289,14361147,525855745,2501046739,2501046740
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Team Goals,Arsenal,0.5,1.05,8.3,Sportsbet,49,289,14323519,524444130,2494043365,2494043366
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Team Goals,Arsenal,1.5,1.4,2.7,Sportsbet,49,289,14323519,524444131,2494043367,2494043368
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Team Goals,Arsenal,2.5,2.39,1.5,Sportsbet,49,289,14323519,524444132,2494043369,2494043370
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Team Goals,Arsenal,3.5,4.85,1.14,Sportsbet,49,289,14323519,524444133,2494043371,2494043372
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Team Goals,Nottingham Forest,0.5,1.69,2.04,Sportsbet,49,289,14323519,524444191,2494042952,2494042953
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Team Goals,Nottingham Forest,1.5,4.65,1.15,Sportsbet,49,289,14323519,524444192,2494042954,2494042955
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Team Goals,Nottingham Forest,2.5,16.75,1.01,Sportsbet,49,289,14323519,524444193,2494042956,2494042957
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Team Goals,Nottingham Forest,3.5,34,1.001,Sportsbet,49,289,14323519,524444194,2494042958,2494042959
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Team Goals,Bournemouth,0.5,1.16,4.4,Sportsbet,49,289,14323553,524444859,2494047034,2494047035
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Team Goals,Bournemouth,1.5,1.97,1.74,Sportsbet,49,289,14323553,524444860,2494047036,2494047037
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Team Goals,Bournemouth,2.5,4.35,1.17,Sportsbet,49,289,14323553,524444861,2494047038,2494047039
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Team Goals,Bournemouth,3.5,11.2,1.03,Sportsbet,49,289,14323553,524444862,2494047040,2494047041
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Team Goals,Brighton & Hove Albion,0.5,1.19,4,Sportsbet,49,289,14323553,524444965,2494046821,2494046822
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Team Goals,Brighton & Hove Albion,1.5,2.12,1.64,Sportsbet,49,289,14323553,524444966,2494046823,2494046824
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Team Goals,Brighton & Hove Albion,2.5,5.05,1.13,Sportsbet,49,289,14323553,524444967,2494046825,2494046826
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Team Goals,Brighton & Hove Albion,3.5,13.5,1.02,Sportsbet,49,289,14323553,524444968,2494046827,2494046828
Bournemouth v Newcastle United,Bournemouth,Newcastle United,Team Goals,Bournemouth,0.5,1.23,3.64,Sportsbet,49,289,14361148,525852850,2501030034,2501030035
Bournemouth v Newcastle United,Bournemouth,Newcastle United,Team Goals,Bournemouth,1.5,2.29,1.55,Sportsbet,49,289,14361148,525852851,2501030036,2501030037
Bournemouth v Newcastle United,Bournemouth,Newcastle United,Team Goals,Bournemouth,2.5,5.5,1.11,Sportsbet,49,289,14361148,525852852,2501030038,2501030039
Bournemouth v Newcastle United,Bournemouth,Newcastle United,Team Goals,Bournemouth,3.5,15.25,1.02,Sportsbet,49,289,14361148,525852853,2501030040,2501030041
Bournemouth v Newcastle United,Bournemouth,Newcastle United,Team Goals,Newcastle United,0.5,1.22,3.74,Sportsbet,49,289,14361148,525852786,2501030361,2501030362
Bournemouth v Newcastle United,Bournemouth,Newcastle United,Team Goals,Newcastle United,1.5,2.25,1.57,Sportsbet,49,289,14361148,525852787,2501030363,2501030364
Bournemouth v Newcastle United,Bournemouth,Newcastle United,Team Goals,Newcastle United,2.5,5.35,1.11,Sportsbet,49,289,14361148,525852788,2501030365,2501030366
Bournemouth v Newcastle United,Bournemouth,Newcastle United,Team Goals,Newcastle United,3.5,14.75,1.02,Sportsbet,49,289,14361148,525852789,2501030367,2501030368
Brentford v Chelsea,Brentford,Chelsea,Team Goals,Brentford,0.5,1.36,2.85,Sportsbet,49,289,14323756,524450377,2494074157,2494074158
Brentford v Chelsea,Brentford,Chelsea,Team Goals,Brentford,1.5,2.92,1.35,Sportsbet,49,289,14323756,524450378,2494074159,2494074160
Brentford v Chelsea,Brentford,Chelsea,Team Goals,Brentford,2.5,8.1,1.05,Sportsbet,49,289,14323756,524450379,2494074161,2494074162
Brentford v Chelsea,Brentford,Chelsea,Team Goals,Brentford,3.5,26,1.01,Sportsbet,49,289,14323756,524450380,2494074163,2494074164
Brentford v Chelsea,Brentford,Chelsea,Team Goals,Chelsea,0.5,1.11,5.35,Sportsbet,49,289,14323756,524450335,2494073944,2494073945
Brentford v Chelsea,Brentford,Chelsea,Team Goals,Chelsea,1.5,1.76,1.95,Sportsbet,49,289,14323756,524450336,2494073946,2494073947
Brentford v Chelsea,Brentford,Chelsea,Team Goals,Chelsea,2.5,3.56,1.24,Sportsbet,49,289,14323756,524450337,2494073948,2494073949
Brentford v Chelsea,Brentford,Chelsea,Team Goals,Chelsea,3.5,8.4,1.05,Sportsbet,49,289,14323756,524450338,2494073950,2494073951
Brighton & Hove Albion v Tottenham Hotspur,Brighton & Hove Albion,Tottenham Hotspur,Team Goals,Brighton & Hove Albion,0.5,1.11,5.35,Sportsbet,49,289,14361144,525852165,2501026845,2501026846
Brighton & Hove Albion v Tottenham Hotspur,Brighton & Hove Albion,Tottenham Hotspur,Team Goals,Brighton & Hove Albion,1.5,1.74,1.97,Sportsbet,49,289,14361144,525852166,2501026847,2501026848
Brighton & Hove Albion v Tottenham Hotspur,Brighton & Hove Albion,Tottenham Hotspur,Team Goals,Brighton & Hove Albion,2.5,3.48,1.25,Sportsbet,49,289,14361144,525852167,2501026849,2501026850
Brighton & Hove Albion v Tottenham Hotspur,Brighton & Hove Albion,Tottenham Hotspur,Team Goals,Brighton & Hove Albion,3.5,8.1,1.05,Sportsbet,49,289,14361144,525852168,2501026851,2501026852
Brighton & Hove Albion v Tottenham Hotspur,Brighton & Hove Albion,Tottenham Hotspur,Team Goals,Tottenham Hotspur,0.5,1.24,3.58,Sportsbet,49,289,14361144,525852226,2501026632,2501026633
Brighton & Hove Albion v Tottenham Hotspur,Brighton & Hove Albion,Tottenham Hotspur,Team Goals,Tottenham Hotspur,1.5,2.31,1.54,Sportsbet,49,289,14361144,525852227,2501026634,2501026635
Brighton & Hove Albion v Tottenham Hotspur,Brighton & Hove Albion,Tottenham Hotspur,Team Goals,Tottenham Hotspur,2.5,5.65,1.1,Sportsbet,49,289,14361144,525852228,2501026636,2501026637
Brighton & Hove Albion v Tottenham Hotspur,Brighton & Hove Albion,Tottenham Hotspur,Team Goals,Tottenham Hotspur,3.5,16,1.02,Sportsbet,49,289,14361144,525852229,2501026638,2501026639
Burnley v Liverpool,Burnley,Liverpool,Team Goals,Burnley,0.5,1.67,2.07,Sportsbet,49,289,14323525,524446843,2494057008,2494057009
Burnley v Liverpool,Burnley,Liverpool,Team Goals,Burnley,1.5,4.55,1.15,Sportsbet,49,289,14323525,524446844,2494057010,2494057011
Burnley v Liverpool,Burnley,Liverpool,Team Goals,Burnley,2.5,15.75,1.02,Sportsbet,49,289,14323525,524446845,2494057012,2494057013
Burnley v Liverpool,Burnley,Liverpool,Team Goals,Burnley,3.5,34,1.001,Sportsbet,49,289,14323525,524446846,2494057014,2494057015
Burnley v Liverpool,Burnley,Liverpool,Team Goals,Liverpool,0.5,1.04,9.8,Sportsbet,49,289,14323525,524446744,2494056395,2494056396
Burnley v Liverpool,Burnley,Liverpool,Team Goals,Liverpool,1.5,1.32,3.04,Sportsbet,49,289,14323525,524446745,2494056397,2494056398
Burnley v Liverpool,Burnley,Liverpool,Team Goals,Liverpool,2.5,2.18,1.6,Sportsbet,49,289,14323525,524446746,2494056399,2494056400
Burnley v Liverpool,Burnley,Liverpool,Team Goals,Liverpool,3.5,4.2,1.18,Sportsbet,49,289,14323525,524446747,2494056401,2494056402
Burnley v Nottingham Forest,Burnley,Nottingham Forest,Team Goals,Burnley,0.5,1.37,2.8,Sportsbet,49,289,14361156,525853490,2501033994,2501033995
Burnley v Nottingham Forest,Burnley,Nottingham Forest,Team Goals,Burnley,1.5,2.99,1.33,Sportsbet,49,289,14361156,525853491,2501033996,2501033997
Burnley v Nottingham Forest,Burnley,Nottingham Forest,Team Goals,Burnley,2.5,8.2,1.05,Sportsbet,49,289,14361156,525853492,2501033998,2501033999
Burnley v Nottingham Forest,Burnley,Nottingham Forest,Team Goals,Burnley,3.5,27,1.01,Sportsbet,49,289,14361156,525853493,2501034000,2501034001
Burnley v Nottingham Forest,Burnley,Nottingham Forest,Team Goals,Nottingham Forest,0.5,1.17,4.3,Sportsbet,49,289,14361156,525853511,2501033241,2501033242
Burnley v Nottingham Forest,Burnley,Nottingham Forest,Team Goals,Nottingham Forest,1.5,2.03,1.7,Sportsbet,49,289,14361156,525853512,2501033243,2501033244
Burnley v Nottingham Forest,Burnley,Nottingham Forest,Team Goals,Nottingham Forest,2.5,4.55,1.15,Sportsbet,49,289,14361156,525853513,2501033245,2501033246
Burnley v Nottingham Forest,Burnley,Nottingham Forest,Team Goals,Nottingham Forest,3.5,11.8,1.03,Sportsbet,49,289,14361156,525853514,2501033247,2501033248
Crystal Palace v Sunderland,Crystal Palace,Sunderland,Team Goals,Crystal Palace,0.5,1.15,4.55,Sportsbet,49,289,14323592,524446671,2494056064,2494056065
Crystal Palace v Sunderland,Crystal Palace,Sunderland,Team Goals,Crystal Palace,1.5,1.95,1.75,Sportsbet,49,289,14323592,524446672,2494056066,2494056067
Crystal Palace v Sunderland,Crystal Palace,Sunderland,Team Goals,Crystal Palace,2.5,4.25,1.17,Sportsbet,49,289,14323592,524446673,2494056068,2494056069
Crystal Palace v Sunderland,Crystal Palace,Sunderland,Team Goals,Crystal Palace,3.5,10.9,1.03,Sportsbet,49,289,14323592,524446674,2494056070,2494056071
Crystal Palace v Sunderland,Crystal Palace,Sunderland,Team Goals,Sunderland,0.5,1.67,2.07,Sportsbet,49,289,14323592,524446607,2494055451,2494055452
Crystal Palace v Sunderland,Crystal Palace,Sunderland,Team Goals,Sunderland,1.5,4.6,1.15,Sportsbet,49,289,14323592,524446608,2494055453,2494055454
Crystal Palace v Sunderland,Crystal Palace,Sunderland,Team Goals,Sunderland,2.5,16.5,1.01,Sportsbet,49,289,14323592,524446609,2494055455,2494055456
Crystal Palace v Sunderland,Crystal Palace,Sunderland,Team Goals,Sunderland,3.5,34,1.001,Sportsbet,49,289,14323592,524446610,2494055457,2494055458
Everton v Aston Villa,Everton,Aston Villa,Team Goals,Aston Villa,0.5,1.28,3.3,Sportsbet,49,289,14323568,524445732,2494051464,2494051465
Everton v Aston Villa,Everton,Aston Villa,Team Goals,Aston Villa,1.5,2.53,1.45,Sportsbet,49,289,14323568,524445733,2494051466,2494051467
Everton v Aston Villa,Everton,Aston Villa,Team Goals,Aston Villa,2.5,6.55,1.08,Sportsbet,49,289,14323568,524445734,2494051468,2494051469
Everton v Aston Villa,Everton,Aston Villa,Team Goals,Aston Villa,3.5,19.5,1.01,Sportsbet,49,289,14323568,524445735,2494051470,2494051471
Everton v Aston Villa,Everton,Aston Villa,Team Goals,Everton,0.5,1.24,3.54,Sportsbet,49,289,14323568,524445771,2494051277,2494051278
Everton v Aston Villa,Everton,Aston Villa,Team Goals,Everton,1.5,2.34,1.52,Sportsbet,49,289,14323568,524445772,2494051279,2494051280
Everton v Aston Villa,Everton,Aston Villa,Team Goals,Everton,2.5,5.75,1.1,Sportsbet,49,289,14323568,524445773,2494051281,2494051282
Everton v Aston Villa,Everton,Aston Villa,Team Goals,Everton,3.5,16,1.02,Sportsbet,49,289,14323568,524445774,2494051283,2494051284
Fulham v Brentford,Fulham,Brentford,Team Goals,Brentford,0.5,1.33,2.99,Sportsbet,49,289,14361155,525853319,2501032265,2501032266
Fulham v Brentford,Fulham,Brentford,Team Goals,Brentford,1.5,2.74,1.39,Sportsbet,49,289,14361155,525853320,2501032267,2501032268
Fulham v Brentford,Fulham,Brentford,Team Goals,Brentford,2.5,7.3,1.06,Sportsbet,49,289,14361155,525853321,2501032269,2501032270
Fulham v Brentford,Fulham,Brentford,Team Goals,Brentford,3.5,22,1.01,Sportsbet,49,289,14361155,525853322,2501032271,2501032272
Fulham v Brentford,Fulham,Brentford,Team Goals,Fulham,0.5,1.14,4.7,Sportsbet,49,289,14361155,525853298,2501032478,2501032479
Fulham v Brentford,Fulham,Brentford,Team Goals,Fulham,1.5,1.89,1.81,Sportsbet,49,289,14361155,525853299,2501032480,2501032481
Fulham v Brentford,Fulham,Brentford,Team Goals,Fulham,2.5,3.98,1.2,Sportsbet,49,289,14361155,525853300,2501032482,2501032483
Fulham v Brentford,Fulham,Brentford,Team Goals,Fulham,3.5,9.9,1.04,Sportsbet,49,289,14361155,525853301,2501032484,2501032485
Fulham v Leeds United,Fulham,Leeds United,Team Goals,Fulham,0.5,1.18,4.15,Sportsbet,49,289,14326128,524518506,2494439077,2494439078
Fulham v Leeds United,Fulham,Leeds United,Team Goals,Fulham,1.5,2.08,1.66,Sportsbet,49,289,14326128,524518507,2494439079,2494439080
Fulham v Leeds United,Fulham,Leeds United,Team Goals,Fulham,2.5,4.75,1.14,Sportsbet,49,289,14326128,524518508,2494439081,2494439082
Fulham v Leeds United,Fulham,Leeds United,Team Goals,Fulham,3.5,12.25,1.02,Sportsbet,49,289,14326128,524518509,2494439083,2494439084
Fulham v Leeds United,Fulham,Leeds United,Team Goals,Leeds United,0.5,1.45,2.53,Sportsbet,49,289,14326128,524518467,2494439404,2494439405
Fulham v Leeds United,Fulham,Leeds United,Team Goals,Leeds United,1.5,3.44,1.26,Sportsbet,49,289,14326128,524518468,2494439406,2494439407
Fulham v Leeds United,Fulham,Leeds United,Team Goals,Leeds United,2.5,10.5,1.03,Sportsbet,49,289,14326128,524518469,2494439408,2494439409
Fulham v Leeds United,Fulham,Leeds United,Team Goals,Leeds United,3.5,34,1.001,Sportsbet,49,289,14326128,524518470,2494439410,2494439411
Liverpool v Everton,Liverpool,Everton,Team Goals,Everton,0.5,1.6,2.18,Sportsbet,49,289,14361129,525851762,2501024829,2501024830
Liverpool v Everton,Liverpool,Everton,Team Goals,Everton,1.5,4.2,1.18,Sportsbet,49,289,14361129,525851763,2501024831,2501024832
Liverpool v Everton,Liverpool,Everton,Team Goals,Everton,2.5,14,1.02,Sportsbet,49,289,14361129,525851764,2501024833,2501024834
Liverpool v Everton,Liverpool,Everton,Team Goals,Everton,3.5,34,1.001,Sportsbet,49,289,14361129,525851765,2501024835,2501024836
Liverpool v Everton,Liverpool,Everton,Team Goals,Liverpool,0.5,1.05,8.1,Sportsbet,49,289,14361129,525851636,2501024642,2501024643
