match,home_team,away_team,market_name,team,line,over_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id
Brighton & Hove Albion v Wolverhampton Wanderers,Brighton & Hove Albion,Wolverhampton Wanderers,Team Shots On Target,Wolverhampton Wanderers,2.5,1.3,Sportsbet,49,289,12804230,460113414,2226731423
Brighton & Hove Albion v Wolverhampton Wanderers,Brighton & Hove Albion,Wolverhampton Wanderers,Team Shots On Target,Wolverhampton Wanderers,3.5,1.83,Sportsbet,49,289,12804230,460113419,2226731433
Brighton & Hove Albion v Wolverhampton Wanderers,Brighton & Hove Albion,Wolverhampton Wanderers,Team Shots On Target,Brighton & Hove Albion,4.5,1.14,Sportsbet,49,289,12804230,460113426,2226731446
Brighton & Hove Albion v Wolverhampton Wanderers,Brighton & Hove Albion,Wolverhampton Wanderers,Team Shots On Target,Wolverhampton Wanderers,4.5,3,Sportsbet,49,289,12804230,460113426,2226731447
Brighton & Hove Albion v Wolverhampton Wanderers,Brighton & Hove Albion,Wolverhampton Wanderers,Team Shots On Target,Brighton & Hove Albion,5.5,1.33,Sportsbet,49,289,12804230,460113428,2226731450
Brighton & Hove Albion v Wolverhampton Wanderers,Brighton & Hove Albion,Wolverhampton Wanderers,Team Shots On Target,Wolverhampton Wanderers,5.5,4.5,Sportsbet,49,289,12804230,460113428,2226731451
Brighton & Hove Albion v Wolverhampton Wanderers,Brighton & Hove Albion,Wolverhampton Wanderers,Team Shots On Target,Brighton & Hove Albion,6.5,1.67,Sportsbet,49,289,12804230,460113430,2226731454
Brighton & Hove Albion v Wolverhampton Wanderers,Brighton & Hove Albion,Wolverhampton Wanderers,Team Shots On Target,Wolverhampton Wanderers,6.5,8.5,Sportsbet,49,289,12804230,460113430,2226731455
Brighton & Hove Albion v Wolverhampton Wanderers,Brighton & Hove Albion,Wolverhampton Wanderers,Team Shots On Target,Brighton & Hove Albion,7.5,2.25,Sportsbet,49,289,12804230,460113432,2226731458
Brighton & Hove Albion v Wolverhampton Wanderers,Brighton & Hove Albion,Wolverhampton Wanderers,Team Shots On Target,Wolverhampton Wanderers,7.5,17,Sportsbet,49,289,12804230,460113432,2226731459
Manchester City v Southampton,Manchester City,Southampton,Team Shots On Target,Southampton,2.5,2.1,Sportsbet,49,289,12804239,460127786,2226788460
Manchester City v Southampton,Manchester City,Southampton,Team Shots On Target,Southampton,3.5,3.75,Sportsbet,49,289,12804239,460127808,2226788472
Manchester City v Southampton,Manchester City,Southampton,Team Shots On Target,Southampton,4.5,7,Sportsbet,49,289,12804239,460127815,2226788486
Manchester City v Southampton,Manchester City,Southampton,Team Shots On Target,Southampton,5.5,15,Sportsbet,49,289,12804239,460127817,2226788490
Manchester City v Southampton,Manchester City,Southampton,Team Shots On Target,Manchester City,6.5,1.06,Sportsbet,49,289,12804239,460127819,2226788493
Manchester City v Southampton,Manchester City,Southampton,Team Shots On Target,Southampton,6.5,36,Sportsbet,49,289,12804239,460127819,2226788494
Manchester City v Southampton,Manchester City,Southampton,Team Shots On Target,Manchester City,7.5,1.14,Sportsbet,49,289,12804239,460127821,2226788497
Brentford v Ipswich Town,Brentford,Ipswich Town,Team Shots On Target,Ipswich Town,2.5,1.25,Sportsbet,49,289,12804252,460125874,2226779859
