match,home_team,away_team,market_name,line,over_price,under_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_under
Manchester United v Leicester City,Manchester United,Leicester City,Match Goals,0.5,1.01,21,Sportsbet,49,289,12899910,460827772,2229775798,2229775797
Manchester United v Leicester City,Manchester United,Leicester City,Match Goals,1.5,1.11,5.9,Sportsbet,49,289,12899910,460827778,2229775812,2229775811
Manchester United v Leicester City,Manchester United,Leicester City,Match Goals,3.5,2.09,1.69,Sportsbet,49,289,12899910,460827802,2229775477,2229775476
Manchester United v Leicester City,Manchester United,Leicester City,Match Goals,2.5,1.42,2.74,Sportsbet,49,289,12899910,460827797,2229775467,2229775466
Manchester United v Leicester City,Manchester United,Leicester City,Match Goals,4.5,3.69,1.25,Sportsbet,49,289,12899910,460827706,2229775485,2229775484
Manchester United v Leicester City,Manchester United,Leicester City,Match Goals,5.5,6,1.1,Sportsbet,49,289,12899910,460827710,2229775493,2229775492
Manchester United v Leicester City,Manchester United,Leicester City,Match Goals,6.5,11,1.03,Sportsbet,49,289,12899910,460827716,2229775506,2229775505
Manchester United v Leicester City,Manchester United,Leicester City,Match Goals,7.5,17,1.005,Sportsbet,49,289,12899910,460827830,2229776123,2229776122
Tottenham Hotspur v Ipswich Town,Tottenham Hotspur,Ipswich Town,Match Goals,1.5,1.06,7.75,Sportsbet,49,289,12899934,460828417,2229777457,2229777456
Tottenham Hotspur v Ipswich Town,Tottenham Hotspur,Ipswich Town,Match Goals,3.5,1.71,2.06,Sportsbet,49,289,12899934,460828354,2229777477,2229777476
Tottenham Hotspur v Ipswich Town,Tottenham Hotspur,Ipswich Town,Match Goals,2.5,1.28,3.45,Sportsbet,49,289,12899934,460828352,2229777473,2229777472
Tottenham Hotspur v Ipswich Town,Tottenham Hotspur,Ipswich Town,Match Goals,4.5,2.72,1.42,Sportsbet,49,289,12899934,460828356,2229777481,2229777480
Tottenham Hotspur v Ipswich Town,Tottenham Hotspur,Ipswich Town,Match Goals,5.5,4.6,1.17,Sportsbet,49,289,12899934,460828358,2229777485,2229777484
Tottenham Hotspur v Ipswich Town,Tottenham Hotspur,Ipswich Town,Match Goals,6.5,8,1.06,Sportsbet,49,289,12899934,460828360,2229777489,2229777488
Tottenham Hotspur v Ipswich Town,Tottenham Hotspur,Ipswich Town,Match Goals,7.5,12,1.02,Sportsbet,49,289,12899934,460828374,2229777851,2229777850
