match,start_time,market_name,home_team,away_team,player_name,player_team,opposition_team,line,over_price,agency
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Adama Traor<c3><a9>,NA,NA,0.5,5.5,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Adama Traor<c3><a9>,NA,NA,1.5,41,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Adama Traor<c3><a9>,NA,NA,2.5,301,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Alex Iwobi,Fulham,Chelsea,0.5,5.5,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Alex Iwobi,Fulham,Chelsea,1.5,41,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Alex Iwobi,Fulham,Chelsea,2.5,301,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Andrey Santos,Chelsea,Fulham,0.5,3.7,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Andrey Santos,Chelsea,Fulham,1.5,17,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Andrey Santos,Chelsea,Fulham,2.5,151,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Antonee Robinson,Fulham,Chelsea,0.5,17,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Antonee Robinson,Fulham,Chelsea,1.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Antonee Robinson,Fulham,Chelsea,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Calvin Bassey,Fulham,Chelsea,0.5,17,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Calvin Bassey,Fulham,Chelsea,1.5,301,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Calvin Bassey,Fulham,Chelsea,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Dario Essugo,NA,NA,0.5,7.5,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Dario Essugo,NA,NA,1.5,81,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Dario Essugo,NA,NA,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Emile Smith Rowe,Fulham,Chelsea,0.5,5.5,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Emile Smith Rowe,Fulham,Chelsea,1.5,41,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Emile Smith Rowe,Fulham,Chelsea,2.5,301,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Enzo Fern<c3><a1>ndez,NA,NA,0.5,4.25,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Enzo Fern<c3><a1>ndez,NA,NA,1.5,26,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Enzo Fern<c3><a1>ndez,NA,NA,2.5,201,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Estevao,NA,NA,0.5,3.1,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Estevao,NA,NA,1.5,13,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Estevao,NA,NA,2.5,81,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Harrison Reed,Fulham,Chelsea,0.5,11,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Harrison Reed,Fulham,Chelsea,1.5,151,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Harrison Reed,Fulham,Chelsea,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Issa Diop,Fulham,Chelsea,0.5,17,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Issa Diop,Fulham,Chelsea,1.5,401,TAB
